ENSG	NextprotID	GeneName	gene_id	gene_type	Chr	start	end	ProteinEvidence	PE	Missing	strand	unknown_function
ENSG00000108771	NX_Q96C10	DHX58	ENSG00000108771.12	protein_coding	17	42101404	42112733	protein	PE1	0	-	0
ENSG00000108773	NX_Q92830	KAT2A	ENSG00000108773.10	protein_coding	17	42113108	42121358	protein	PE1	0	-	0
ENSG00000108774	NX_P51148	RAB5C	ENSG00000108774.14	protein_coding	17	42124976	42155044	protein	PE1	0	-	0
ENSG00000108784	NX_P54802	NAGLU	ENSG00000108784.9	protein_coding	17	42536172	42544449	protein	PE1	0	+	0
ENSG00000108786	NX_P14061	HSD17B1	ENSG00000108786.10	protein_coding	17	42549214	42555213	protein	PE1	0	+	0
ENSG00000108788	NX_Q9UH92	MLX	ENSG00000108788.11	protein_coding	17	42567068	42573239	protein	PE1	0	+	0
ENSG00000108797	NX_P78357	CNTNAP1	ENSG00000108797.11	protein_coding	17	42682613	42699814	protein	PE1	0	+	0
ENSG00000108798	NX_Q9P2A4	ABI3	ENSG00000108798.8	protein_coding	17	49210227	49223225	protein	PE1	0	+	0
ENSG00000108799	NX_Q92800	EZH1	ENSG00000108799.12	protein_coding	17	42700275	42745049	protein	PE1	0	-	0
ENSG00000108813	NX_Q92988	DLX4	ENSG00000108813.10	protein_coding	17	49968970	49974959	protein	PE1	0	+	0
ENSG00000108819	NX_Q96SB3	PPP1R9B	ENSG00000108819.10	protein_coding	17	50133735	50150630	protein	PE1	0	-	0
ENSG00000108821	NX_P02452	COL1A1	ENSG00000108821.13	protein_coding	17	50183289	50201632	protein	PE1	0	-	0
ENSG00000108823	NX_Q16586	SGCA	ENSG00000108823.15	protein_coding	17	50164214	50175931	protein	PE1	0	+	0
ENSG00000108826	NX_Q9P0M9	MRPL27	ENSG00000108826.15	protein_coding	17	50367857	50373214	protein	PE1	0	-	0
ENSG00000108828	NX_Q99536	VAT1	ENSG00000108828.15	protein_coding	17	43014605	43025123	protein	PE1	0	-	0
ENSG00000108829	NX_Q96AG4	LRRC59	ENSG00000108829.9	protein_coding	17	50375059	50397553	protein	PE1	0	-	0
ENSG00000108830	NX_P52198	RND2	ENSG00000108830.9	protein_coding	17	43025241	43032036	protein	PE1	0	+	0
ENSG00000108839	NX_P18054	ALOX12	ENSG00000108839.11	protein_coding	17	6996065	7010736	protein	PE1	0	+	0
ENSG00000108840	NX_Q9UQL6	HDAC5	ENSG00000108840.15	protein_coding	17	44076746	44123702	protein	PE1	0	-	0
ENSG00000108846	NX_O15438	ABCC3	ENSG00000108846.15	protein_coding	17	50634777	50692252	protein	PE1	0	+	0
ENSG00000108848	NX_O95232	LUC7L3	ENSG00000108848.15	protein_coding	17	50719544	50756213	protein	PE1	0	+	0
ENSG00000108849	NX_P01298	PPY	ENSG00000108849.7	protein_coding	17	43940804	43942468	protein	PE1	0	-	0
ENSG00000108852	NX_Q14168	MPP2	ENSG00000108852.14	protein_coding	17	43875357	43909711	protein	PE1	0	-	0
ENSG00000108854	NX_Q9HAU4	SMURF2	ENSG00000108854.15	protein_coding	17	64542295	64662068	protein	PE1	0	-	0
ENSG00000108861	NX_P51452	DUSP3	ENSG00000108861.8	protein_coding	17	43766121	43778988	protein	PE1	0	-	0
ENSG00000108878	NX_Q06432	CACNG1	ENSG00000108878.4	protein_coding	17	67044590	67056797	protein	PE1	0	+	0
ENSG00000108883	NX_Q15029	EFTUD2	ENSG00000108883.12	protein_coding	17	44849943	44899662	protein	PE1	0	-	0
ENSG00000108924	NX_Q16534	HLF	ENSG00000108924.13	protein_coding	17	55265012	55325065	transcript	PE2	1	+	0
ENSG00000108932	NX_O15403	SLC16A6	ENSG00000108932.11	protein_coding	17	68267026	68291267	protein	PE1	0	-	0
ENSG00000108946	NX_P10644	PRKAR1A	ENSG00000108946.14	protein_coding	17	68511780	68551319	protein	PE1	0	+	0
ENSG00000108947	NX_Q15768	EFNB3	ENSG00000108947.4	protein_coding	17	7705202	7711378	protein	PE1	0	+	0
ENSG00000108950	NX_Q96MK3	FAM20A	ENSG00000108950.11	protein_coding	17	68535113	68601389	protein	PE1	0	-	0
ENSG00000108953	NX_P62258	YWHAE	ENSG00000108953.16	protein_coding	17	1344272	1400378	protein	PE1	0	-	0
ENSG00000108960	NX_Q15546	MMD	ENSG00000108960.7	protein_coding	17	55392613	55421992	transcript	PE2	1	-	0
ENSG00000108961	NX_Q9HD47	RANGRF	ENSG00000108961.13	protein_coding	17	8288497	8290092	protein	PE1	0	+	0
ENSG00000108963	NX_Q9BZG8	DPH1	ENSG00000108963.17	protein_coding	17	2030110	2043430	protein	PE1	0	+	0
ENSG00000108984	NX_P52564	MAP2K6	ENSG00000108984.14	protein_coding	17	69414698	69553861	protein	PE1	0	+	0
ENSG00000109016	NX_Q6IAN0	DHRS7B	ENSG00000109016.17	protein_coding	17	21123364	21193265	protein	PE1	0	+	0
ENSG00000109046	NX_Q9Y6I7	WSB1	ENSG00000109046.14	protein_coding	17	27294076	27315926	protein	PE1	0	+	0
ENSG00000109047	NX_P35243	RCVRN	ENSG00000109047.7	protein_coding	17	9896320	9905621	protein	PE1	0	-	0
ENSG00000109061	NX_P12882	MYH1	ENSG00000109061.9	protein_coding	17	10492307	10518543	protein	PE1	0	-	0
ENSG00000109062	NX_O14745	SLC9A3R1	ENSG00000109062.11	protein_coding	17	74748652	74769353	protein	PE1	0	+	0
ENSG00000109063	NX_P11055	MYH3	ENSG00000109063.14	protein_coding	17	10628526	10657309	protein	PE1	0	-	0
ENSG00000109065	NX_Q9BTE0	NAT9	ENSG00000109065.11	protein_coding	17	74770547	74776367	protein	PE1	0	-	0
ENSG00000109066	NX_Q8NE00	TMEM104	ENSG00000109066.13	protein_coding	17	74776483	74839779	protein	PE1	0	+	0
ENSG00000109072	NX_P04004	VTN	ENSG00000109072.13	protein_coding	17	28367276	28373091	protein	PE1	0	-	0
ENSG00000109079	NX_Q13829	TNFAIP1	ENSG00000109079.9	protein_coding	17	28335602	28347009	protein	PE1	0	+	0
ENSG00000109083	NX_Q8IY31	IFT20	ENSG00000109083.13	protein_coding	17	28328325	28335489	protein	PE1	0	-	0
ENSG00000109084	NX_Q5BJF2	TMEM97	ENSG00000109084.13	protein_coding	17	28319095	28328685	protein	PE1	0	+	0
ENSG00000109089	NX_Q86X02	CDR2L	ENSG00000109089.7	protein_coding	17	74987632	75005800	protein	PE1	0	+	1
ENSG00000109099	NX_Q01453	PMP22	ENSG00000109099.14	protein_coding	17	15229777	15265357	protein	PE1	0	-	0
ENSG00000109101	NX_O15353	FOXN1	ENSG00000109101.7	protein_coding	17	28506243	28538896	protein	PE1	0	+	0
ENSG00000109103	NX_Q13432	UNC119	ENSG00000109103.11	protein_coding	17	28546707	28552668	protein	PE1	0	-	0
ENSG00000109107	NX_P09972	ALDOC	ENSG00000109107.13	protein_coding	17	28573115	28577264	protein	PE1	0	-	0
ENSG00000109111	NX_Q7KZ85	SUPT6H	ENSG00000109111.14	protein_coding	17	28662091	28702684	protein	PE1	0	+	0
ENSG00000109113	NX_P0DI83;NX_Q9BZG1	RAB34	ENSG00000109113.19	protein_coding	17	28714281	28718429	protein	PE1	0	-	1;0
ENSG00000109118	NX_Q96QT6	PHF12	ENSG00000109118.13	protein_coding	17	28905250	28951771	protein	PE1	0	-	0
ENSG00000109132	NX_Q99453	PHOX2B	ENSG00000109132.6	protein_coding	4	41744082	41748970	protein	PE1	0	-	0
ENSG00000109133	NX_P57088	TMEM33	ENSG00000109133.12	protein_coding	4	41935120	41960572	protein	PE1	0	+	0
ENSG00000109158	NX_P48169	GABRA4	ENSG00000109158.10	protein_coding	4	46918900	46994407	protein	PE1	0	-	0
ENSG00000109163	NX_P30968	GNRHR	ENSG00000109163.6	protein_coding	4	67739328	67754360	protein	PE1	0	-	0
ENSG00000109171	NX_Q9P270	SLAIN2	ENSG00000109171.14	protein_coding	4	48341322	48426212	protein	PE1	0	+	0
ENSG00000109180	NX_Q9NX40	OCIAD1	ENSG00000109180.14	protein_coding	4	48805212	48861817	protein	PE1	0	+	0
ENSG00000109181	NX_P36537	UGT2B10	ENSG00000109181.11	protein_coding	4	68815993	68831196	protein	PE1	0	+	0
ENSG00000109182	NX_Q9H720	CWH43	ENSG00000109182.11	protein_coding	4	48986247	49062081	protein	PE1	0	+	0
ENSG00000109184	NX_Q92564	DCUN1D4	ENSG00000109184.14	protein_coding	4	51843000	51916837	protein	PE1	0	+	0
ENSG00000109189	NX_P62068	USP46	ENSG00000109189.12	protein_coding	4	52590972	52659335	protein	PE1	0	-	0
ENSG00000109193	NX_P49888	SULT1E1	ENSG00000109193.11	protein_coding	4	69841212	69860152	protein	PE1	0	-	0
ENSG00000109205	NX_A1E959	ODAM	ENSG00000109205.16	protein_coding	4	70196496	70204576	protein	PE1	0	+	0
ENSG00000109208	NX_Q99954	SMR3A	ENSG00000109208.4	protein_coding	4	70360761	70367158	protein	PE1	0	+	0
ENSG00000109220	NX_Q9UKJ5	CHIC2	ENSG00000109220.10	protein_coding	4	54009789	54064690	protein	PE1	0	-	1
ENSG00000109255	NX_P48645	NMU	ENSG00000109255.11	protein_coding	4	55595229	55636698	protein	PE1	0	-	0
ENSG00000109265	NX_Q6ZU35	CRAD	ENSG00000109265.14	protein_coding	4	56049073	56328625	protein	PE1	0	+	0
ENSG00000109270	NX_Q9UHA4	LAMTOR3	ENSG00000109270.12	protein_coding	4	99878336	99894490	protein	PE1	0	-	0
ENSG00000109272	NX_P10720	PF4V1	ENSG00000109272.3	protein_coding	4	73853189	73854155	protein	PE1	0	+	0
ENSG00000109320	NX_P19838	NFKB1	ENSG00000109320.11	protein_coding	4	102501329	102617302	protein	PE1	0	+	0
ENSG00000109321	NX_P15514	AREG	ENSG00000109321.10	protein_coding	4	74445134	74455009	protein	PE1	0	+	0
ENSG00000109323	NX_O00462	MANBA	ENSG00000109323.9	protein_coding	4	102630770	102760994	protein	PE1	0	-	0
ENSG00000109332	NX_P61077	UBE2D3	ENSG00000109332.19	protein_coding	4	102794383	102868896	protein	PE1	0	-	0
ENSG00000109339	NX_P53779	MAPK10	ENSG00000109339.21	protein_coding	4	85990007	86594625	protein	PE1	0	-	0
ENSG00000109381	NX_Q15723	ELF2	ENSG00000109381.19	protein_coding	4	139028112	139177218	protein	PE1	0	-	0
ENSG00000109390	NX_O43677	NDUFC1	ENSG00000109390.11	protein_coding	4	139266880	139302551	protein	PE1	0	-	0
ENSG00000109424	NX_P25874	UCP1	ENSG00000109424.3	protein_coding	4	140559434	140568805	protein	PE1	0	-	0
ENSG00000109436	NX_Q6ZT07	TBC1D9	ENSG00000109436.7	protein_coding	4	140620765	140756120	protein	PE1	0	-	0
ENSG00000109445	NX_Q9Y3S2	ZNF330	ENSG00000109445.10	protein_coding	4	141220887	141234697	protein	PE1	0	+	1
ENSG00000109452	NX_O15327	INPP4B	ENSG00000109452.12	protein_coding	4	142023160	142847432	protein	PE1	0	-	0
ENSG00000109458	NX_Q13480	GAB1	ENSG00000109458.8	protein_coding	4	143336762	143474568	protein	PE1	0	+	0
ENSG00000109466	NX_O95198	KLHL2	ENSG00000109466.13	protein_coding	4	165207618	165323156	protein	PE1	0	+	0
ENSG00000109471	NX_P60568	IL2	ENSG00000109471.4	protein_coding	4	122451470	122456725	protein	PE1	0	-	0
ENSG00000109472	NX_P16870	CPE	ENSG00000109472.13	protein_coding	4	165361194	165498320	protein	PE1	0	+	0
ENSG00000109475	NX_P49207	RPL34	ENSG00000109475.16	protein_coding	4	108620566	108630412	protein	PE1	0	+	0
ENSG00000109501	NX_O76024	WFS1	ENSG00000109501.13	protein_coding	4	6269849	6303265	protein	PE1	0	+	0
ENSG00000109511	NX_Q9UJ72	ANXA10	ENSG00000109511.11	protein_coding	4	168092515	168187690	protein	PE1	0	+	0
ENSG00000109519	NX_Q9HAV7	GRPEL1	ENSG00000109519.12	protein_coding	4	7058906	7068197	protein	PE1	0	-	0
ENSG00000109534	NX_Q9NY12	GAR1	ENSG00000109534.16	protein_coding	4	109815510	109824740	protein	PE1	0	+	0
ENSG00000109536	NX_Q14331	FRG1	ENSG00000109536.11	protein_coding	4	189940788	189963204	protein	PE1	0	+	0
ENSG00000109572	NX_P51790	CLCN3	ENSG00000109572.13	protein_coding	4	169612633	169723673	protein	PE1	0	+	0
ENSG00000109576	NX_Q8N5Z0	AADAT	ENSG00000109576.13	protein_coding	4	170060222	170091699	protein	PE1	0	-	0
ENSG00000109586	NX_Q86SF2	GALNT7	ENSG00000109586.11	protein_coding	4	173168753	173323967	protein	PE1	0	+	0
ENSG00000109606	NX_O43143	DHX15	ENSG00000109606.12	protein_coding	4	24517441	24584550	protein	PE1	0	-	0
ENSG00000109610	NX_P08294	SOD3	ENSG00000109610.5	protein_coding	4	24789912	24800842	protein	PE1	0	+	0
ENSG00000109618	NX_Q9HD40	SEPSECS	ENSG00000109618.11	protein_coding	4	25120014	25160442	protein	PE1	0	-	0
ENSG00000109625	NX_Q66K79	CPZ	ENSG00000109625.18	protein_coding	4	8592660	8619759	protein	PE1	0	+	0
ENSG00000109654	NX_Q9C040	TRIM2	ENSG00000109654.14	protein_coding	4	153152342	153339320	protein	PE1	0	+	0
ENSG00000109667	NX_Q9NRM0	SLC2A9	ENSG00000109667.11	protein_coding	4	9771153	10054936	protein	PE1	0	-	0
ENSG00000109670	NX_Q969H0	FBXW7	ENSG00000109670.14	protein_coding	4	152320544	152536063	protein	PE1	0	-	0
ENSG00000109674	NX_Q8TAT5	NEIL3	ENSG00000109674.3	protein_coding	4	177309836	177362943	protein	PE1	0	+	0
ENSG00000109680	NX_Q8N5T2	TBC1D19	ENSG00000109680.10	protein_coding	4	26576437	26755351	protein	PE1	0	+	0
ENSG00000109684	NX_Q7Z7G1	CLNK	ENSG00000109684.14	protein_coding	4	10486395	10684865	protein	PE1	0	-	0
ENSG00000109685	NX_O96028	NSD2	ENSG00000109685.17	protein_coding	4	1871424	1982207	protein	PE1	0	+	0
ENSG00000109686	NX_Q5HYK7	SH3D19	ENSG00000109686.17	protein_coding	4	151102751	151325632	protein	PE1	0	-	0
ENSG00000109689	NX_Q9P246	STIM2	ENSG00000109689.15	protein_coding	4	26857678	27025381	protein	PE1	0	+	0
ENSG00000109705	NX_P78367	NKX3-2	ENSG00000109705.7	protein_coding	4	13540830	13545050	protein	PE1	0	-	0
ENSG00000109736	NX_Q14728	MFSD10	ENSG00000109736.14	protein_coding	4	2930561	2934859	protein	PE1	0	-	0
ENSG00000109738	NX_P48167	GLRB	ENSG00000109738.10	protein_coding	4	157076057	157172090	protein	PE1	0	+	0
ENSG00000109743	NX_Q10588	BST1	ENSG00000109743.10	protein_coding	4	15702950	15738313	protein	PE1	0	+	0
ENSG00000109756	NX_Q9Y4G8	RAPGEF2	ENSG00000109756.9	protein_coding	4	159103013	159360174	protein	PE1	0	+	0
ENSG00000109758	NX_Q04756	HGFAC	ENSG00000109758.8	protein_coding	4	3441887	3449495	protein	PE1	0	+	0
ENSG00000109762	NX_Q9H3E2	SNX25	ENSG00000109762.15	protein_coding	4	185204237	185370185	protein	PE1	0	+	0
ENSG00000109771	NX_Q9P2M1	LRP2BP	ENSG00000109771.15	protein_coding	4	185363879	185395899	protein	PE1	0	-	0
ENSG00000109775	NX_Q9NUQ7	UFSP2	ENSG00000109775.10	protein_coding	4	185399540	185425985	protein	PE1	0	-	0
ENSG00000109787	NX_P57682	KLF3	ENSG00000109787.12	protein_coding	4	38664196	38701042	protein	PE1	0	+	0
ENSG00000109790	NX_Q96PQ7	KLHL5	ENSG00000109790.16	protein_coding	4	39045039	39126857	protein	PE1	0	+	0
ENSG00000109794	NX_A5PLN7	FAM149A	ENSG00000109794.13	protein_coding	4	186104419	186172667	protein	PE1	0	+	1
ENSG00000109805	NX_Q9BPX3	NCAPG	ENSG00000109805.9	protein_coding	4	17810902	17844862	protein	PE1	0	+	0
ENSG00000109814	NX_O60701	UGDH	ENSG00000109814.11	protein_coding	4	39498755	39528311	protein	PE1	0	-	0
ENSG00000109819	NX_Q9UBK2	PPARGC1A	ENSG00000109819.8	protein_coding	4	23755041	23904089	protein	PE1	0	-	0
ENSG00000109832	NX_Q9UHL0	DDX25	ENSG00000109832.13	protein_coding	11	125903348	125943702	protein	PE1	0	+	0
ENSG00000109846	NX_P02511	CRYAB	ENSG00000109846.7	protein_coding	11	111908565	111923722	protein	PE1	0	-	0
ENSG00000109851	NX_A6NMT0	DBX1	ENSG00000109851.6	protein_coding	11	20156155	20160613	protein	PE1	0	-	0
ENSG00000109854	NX_Q9BUP3	HTATIP2	ENSG00000109854.13	protein_coding	11	20363685	20383783	protein	PE1	0	+	0
ENSG00000109861	NX_P53634	CTSC	ENSG00000109861.15	protein_coding	11	88293592	88337787	protein	PE1	0	-	0
ENSG00000109881	NX_Q96HJ3	CCDC34	ENSG00000109881.16	protein_coding	11	27330827	27363868	protein	PE1	0	-	1
ENSG00000109906	NX_Q05516	ZBTB16	ENSG00000109906.13	protein_coding	11	114059593	114250676	protein	PE1	0	+	0
ENSG00000109911	NX_Q96EB1	ELP4	ENSG00000109911.18	protein_coding	11	31509700	31790328	protein	PE1	0	+	0
ENSG00000109917	NX_O75312	ZPR1	ENSG00000109917.10	protein_coding	11	116773799	116788050	protein	PE1	0	-	0
ENSG00000109919	NX_Q9Y6C9	MTCH2	ENSG00000109919.9	protein_coding	11	47617315	47642623	protein	PE1	0	-	0
ENSG00000109920	NX_Q8N3X1	FNBP4	ENSG00000109920.12	protein_coding	11	47716517	47767443	protein	PE1	0	-	1
ENSG00000109927	NX_O75443	TECTA	ENSG00000109927.10	protein_coding	11	121101173	121191493	protein	PE1	0	+	0
ENSG00000109929	NX_O75845	SC5D	ENSG00000109929.9	protein_coding	11	121292453	121308694	protein	PE1	0	+	0
ENSG00000109943	NX_O95727	CRTAM	ENSG00000109943.8	protein_coding	11	122838500	122872639	protein	PE1	0	+	0
ENSG00000109944	NX_Q6NUN7	JHY	ENSG00000109944.10	protein_coding	11	122882528	122959798	protein	PE1	0	+	0
ENSG00000109956	NX_Q9P2W7	B3GAT1	ENSG00000109956.12	protein_coding	11	134378504	134411918	protein	PE1	0	-	0
ENSG00000109971	NX_P11142	HSPA8	ENSG00000109971.13	protein_coding	11	123057489	123063230	protein	PE1	0	-	0
ENSG00000109991	NX_P56373	P2RX3	ENSG00000109991.8	protein_coding	11	57338374	57370600	protein	PE1	0	+	0
ENSG00000110002	NX_O00534	VWA5A	ENSG00000110002.15	protein_coding	11	124115362	124147721	protein	PE1	0	+	0
ENSG00000110011	NX_Q9NNZ3	DNAJC4	ENSG00000110011.13	protein_coding	11	64230278	64234286	protein	PE1	0	+	0
ENSG00000110013	NX_Q9HAT2	SIAE	ENSG00000110013.12	protein_coding	11	124633113	124695707	protein	PE1	0	-	0
ENSG00000110025	NX_Q9NRS6	SNX15	ENSG00000110025.12	protein_coding	11	65027408	65040572	protein	PE1	0	+	0
ENSG00000110031	NX_O60711	LPXN	ENSG00000110031.12	protein_coding	11	58526871	58578220	protein	PE1	0	-	0
ENSG00000110042	NX_Q9Y2E6	DTX4	ENSG00000110042.7	protein_coding	11	59171430	59208587	protein	PE1	0	+	0
ENSG00000110046	NX_Q2TAZ0	ATG2A	ENSG00000110046.12	protein_coding	11	64894546	64917248	protein	PE1	0	-	0
ENSG00000110047	NX_Q9H4M9	EHD1	ENSG00000110047.17	protein_coding	11	64851642	64888296	protein	PE1	0	-	0
ENSG00000110048	NX_P22059	OSBP	ENSG00000110048.11	protein_coding	11	59574398	59616144	protein	PE1	0	-	0
ENSG00000110057	NX_Q9H1C4	UNC93B1	ENSG00000110057.7	protein_coding	11	67991104	68004982	protein	PE1	0	-	0
ENSG00000110060	NX_Q9BZE2	PUS3	ENSG00000110060.8	protein_coding	11	125893485	125903221	protein	PE1	0	-	0
ENSG00000110063	NX_Q96C86	DCPS	ENSG00000110063.8	protein_coding	11	126303752	126345749	protein	PE1	0	+	0
ENSG00000110066	NX_Q4FZB7	KMT5B	ENSG00000110066.14	protein_coding	11	68154863	68213828	protein	PE1	0	-	0
ENSG00000110074	NX_Q96CU9	FOXRED1	ENSG00000110074.10	protein_coding	11	126269055	126278131	protein	PE1	0	+	0
ENSG00000110075	NX_Q5H9R7	PPP6R3	ENSG00000110075.14	protein_coding	11	68460731	68615334	protein	PE1	0	+	0
ENSG00000110076	NX_Q9P2S2;NX_P58401	NRXN2	ENSG00000110076.18	protein_coding	11	64606174	64723188	protein	PE1	0	-	0
ENSG00000110077	NX_Q9H2W1	MS4A6A	ENSG00000110077.14	protein_coding	11	60172014	60184666	protein	PE1	0	-	0
ENSG00000110079	NX_Q96JQ5	MS4A4A	ENSG00000110079.16	protein_coding	11	60280541	60308972	protein	PE1	0	+	0
ENSG00000110080	NX_Q11206	ST3GAL4	ENSG00000110080.18	protein_coding	11	126355640	126440344	protein	PE1	0	+	0
ENSG00000110090	NX_P50416	CPT1A	ENSG00000110090.12	protein_coding	11	68754620	68844410	protein	PE1	0	-	0
ENSG00000110092	NX_P24385	CCND1	ENSG00000110092.3	protein_coding	11	69641087	69654474	protein	PE1	0	+	0
ENSG00000110104	NX_Q9H6F5	CCDC86	ENSG00000110104.11	protein_coding	11	60842071	60851081	protein	PE1	0	+	0
ENSG00000110107	NX_Q9UMS4	PRPF19	ENSG00000110107.8	protein_coding	11	60890730	60906588	protein	PE1	0	-	0
ENSG00000110108	NX_Q9BVC6	TMEM109	ENSG00000110108.9	protein_coding	11	60913874	60923443	protein	PE1	0	+	0
ENSG00000110148	NX_P32239	CCKBR	ENSG00000110148.9	protein_coding	11	6259736	6272127	protein	PE1	0	+	0
ENSG00000110169	NX_P02790	HPX	ENSG00000110169.10	protein_coding	11	6431049	6442617	protein	PE1	0	-	0
ENSG00000110171	NX_O75382	TRIM3	ENSG00000110171.19	protein_coding	11	6448613	6474459	protein	PE1	0	-	0
ENSG00000110172	NX_Q9UHD1	CHORDC1	ENSG00000110172.11	protein_coding	11	90201160	90223364	protein	PE1	0	-	0
ENSG00000110195	NX_P15328	FOLR1	ENSG00000110195.12	protein_coding	11	72189558	72196323	protein	PE1	0	+	0
ENSG00000110200	NX_P60006	ANAPC15	ENSG00000110200.8	protein_coding	11	72106378	72112780	protein	PE1	0	-	0
ENSG00000110203	NX_P41439	FOLR3	ENSG00000110203.8	protein_coding	11	72114869	72139892	protein	PE1	0	+	0
ENSG00000110218	NX_Q96RD7	PANX1	ENSG00000110218.8	protein_coding	11	94128928	94181972	protein	PE1	0	+	0
ENSG00000110237	NX_Q96PE2	ARHGEF17	ENSG00000110237.4	protein_coding	11	73308289	73369388	protein	PE1	0	+	0
ENSG00000110243	NX_Q6Q788	APOA5	ENSG00000110243.11	protein_coding	11	116789367	116792420	protein	PE1	0	-	0
ENSG00000110244	NX_P06727	APOA4	ENSG00000110244.6	protein_coding	11	116820700	116823306	protein	PE1	0	-	0
ENSG00000110245	NX_P02656	APOC3	ENSG00000110245.11	protein_coding	11	116829706	116833072	protein	PE1	0	+	0
ENSG00000110274	NX_Q9UPV0	CEP164	ENSG00000110274.15	protein_coding	11	117314557	117413268	protein	PE1	0	+	0
ENSG00000110315	NX_Q8WVD5	RNF141	ENSG00000110315.6	protein_coding	11	10511678	10541230	protein	PE1	0	-	0
ENSG00000110318	NX_Q9P2H0	CEP126	ENSG00000110318.13	protein_coding	11	101915015	102001058	protein	PE1	0	+	0
ENSG00000110321	NX_P78344	EIF4G2	ENSG00000110321.16	protein_coding	11	10797050	10809110	protein	PE1	0	-	0
ENSG00000110324	NX_Q13651	IL10RA	ENSG00000110324.10	protein_coding	11	117986348	118003037	protein	PE1	0	+	0
ENSG00000110328	NX_Q6P9A2	GALNT18	ENSG00000110328.5	protein_coding	11	11270876	11622005	protein	PE1	0	-	0
ENSG00000110330	NX_Q13490	BIRC2	ENSG00000110330.8	protein_coding	11	102347211	102378670	protein	PE1	0	+	0
ENSG00000110344	NX_Q14139	UBE4A	ENSG00000110344.9	protein_coding	11	118359585	118399211	protein	PE1	0	+	0
ENSG00000110367	NX_P26196	DDX6	ENSG00000110367.11	protein_coding	11	118747766	118791149	protein	PE1	0	-	0
ENSG00000110375	NX_O00526	UPK2	ENSG00000110375.2	protein_coding	11	118925164	118958559	protein	PE1	0	+	0
ENSG00000110395	NX_P22681	CBL	ENSG00000110395.6	protein_coding	11	119206276	119313926	protein	PE1	0	+	0
ENSG00000110400	NX_Q15223	NECTIN1	ENSG00000110400.10	protein_coding	11	119623408	119729084	protein	PE1	0	-	0
ENSG00000110422	NX_Q9H422	HIPK3	ENSG00000110422.11	protein_coding	11	33256672	33357023	protein	PE1	0	+	0
ENSG00000110427	NX_Q6ZVL6	KIAA1549L	ENSG00000110427.15	protein_coding	11	33376466	33674102	protein	PE1	0	+	1
ENSG00000110429	NX_Q9UK99	FBXO3	ENSG00000110429.13	protein_coding	11	33740939	33774543	protein	PE1	0	-	0
ENSG00000110435	NX_O00330	PDHX	ENSG00000110435.11	protein_coding	11	34915829	35020591	protein	PE1	0	+	0
ENSG00000110436	NX_P43004	SLC1A2	ENSG00000110436.12	protein_coding	11	35251205	35420063	protein	PE1	0	-	0
ENSG00000110442	NX_Q9P000	COMMD9	ENSG00000110442.11	protein_coding	11	36269284	36289449	protein	PE1	0	-	0
ENSG00000110446	NX_Q8IY34	SLC15A3	ENSG00000110446.10	protein_coding	11	60937084	60952530	protein	PE1	0	-	0
ENSG00000110448	NX_P06127	CD5	ENSG00000110448.10	protein_coding	11	61102395	61127852	protein	PE1	0	+	0
ENSG00000110455	NX_Q96QU6	ACCS	ENSG00000110455.13	protein_coding	11	44065925	44084222	protein	PE1	0	+	0
ENSG00000110484	NX_Q13296	SCGB2A2	ENSG00000110484.6	protein_coding	11	62270155	62273156	protein	PE1	0	+	0
ENSG00000110492	NX_P21741	MDK	ENSG00000110492.15	protein_coding	11	46380756	46383837	protein	PE1	0	+	0
ENSG00000110497	NX_Q9C0C7	AMBRA1	ENSG00000110497.14	protein_coding	11	46396414	46594125	protein	PE1	0	-	0
ENSG00000110514	NX_Q8WXG6	MADD	ENSG00000110514.19	protein_coding	11	47269161	47330031	protein	PE1	0	+	0
ENSG00000110536	NX_Q8WUK0	PTPMT1	ENSG00000110536.13	protein_coding	11	47565430	47573461	protein	PE1	0	+	0
ENSG00000110583	NX_Q86UY6	NAA40	ENSG00000110583.12	protein_coding	11	63938959	63957328	protein	PE1	0	+	0
ENSG00000110619	NX_P49589	CARS	ENSG00000110619.17	protein_coding	11	3000922	3057613	protein	PE1	0	-	0
ENSG00000110628	NX_Q96BI1	SLC22A18	ENSG00000110628.13	protein_coding	11	2899721	2925246	protein	PE1	0	+	0
ENSG00000110651	NX_P60033	CD81	ENSG00000110651.11	protein_coding	11	2376177	2397419	protein	PE1	0	+	0
ENSG00000110660	NX_Q8IXU6	SLC35F2	ENSG00000110660.14	protein_coding	11	107790991	107928293	protein	PE1	0	-	0
ENSG00000110665	NX_Q9P2W6	C11orf21	ENSG00000110665.11	protein_coding	11	2295645	2303049	transcript	PE2	1	-	1
ENSG00000110675	NX_Q8N336	ELMOD1	ENSG00000110675.12	protein_coding	11	107591091	107666779	protein	PE1	0	+	0
ENSG00000110680	NX_P01258;NX_P06881	CALCA	ENSG00000110680.12	protein_coding	11	14966668	14972354	protein	PE1	0	-	0
ENSG00000110693	NX_P35712	SOX6	ENSG00000110693.17	protein_coding	11	15966449	16739591	protein	PE1	0	-	0
ENSG00000110696	NX_O00193	SMAP	ENSG00000110696.9	protein_coding	11	16613132	16756881	protein	PE1	0	+	1
ENSG00000110697	NX_O00562	PITPNM1	ENSG00000110697.12	protein_coding	11	67491768	67506263	protein	PE1	0	-	0
